point_idx,navn,lat,lon,is_etappe_end
0,Knud Knudsens plass (start),59.924600,10.740200,false
1,Louises gate,59.927094,10.737638,true
2,Wolffs gate,59.930494,10.730036,true
3,Wilh. Færdens vei,59.935183,10.726767,true
4,Forskningsparken,59.943545,10.713738,true
5,Vindern / Holmenveien,59.942926,10.701426,true
6,Stasjonsveien Slemdal,59.951060,10.692219,true
7,Besserud,59.957917,10.674578,true
8,Gressbanen,59.950417,10.675460,true
9,Holmendammen,59.944808,10.679634,true
10,Frognerparken,59.929377,10.695223,true
11,Nordraaks gate,59.922592,10.707679,true
12,Arno Bergs plass,59.921356,10.712636,true
13,Camilla Colletts vei,59.921452,10.722849,true
14,Bislettgata,59.924789,10.732023,true
15,Bislett Stadion (mål),59.924689,10.734136,true
