etappe,distance_m,start_location,end_location
1,1100,Knud Knudsens plass,Louises gate
2,1070,Louises gate,Wolffs gate
3,595,Wolffs gate,Wilh. Færdens vei
4,1920,Wilh. Færdens vei,Forskningsveien
5,1210,Forskningsveien,Holmenveien
6,1250,Holmenveien,Slemdal skole
7,1770,Slemdal skole,Besserud T
8,1780,Besserud T,Gressbanen
9,625,Gressbanen,Holmendammen
10,2860,Holmendammen,Frognerparken
11,1520,Frognerparken,Nordraaks gate
12,350,Nordraaks gate,Arno Bergs plass
13,1080,Arno Bergs plass,Camilla Colletts vei
14,710,Camilla Colletts vei,Bislettgata
15,535,Bislettgata,Bislett
