year,class,rank,bib,team,time,time_seconds,source_url
2026,kvinner elite,1,,SK Vidar K Elite 1 (),0:55:42,3342.0,https://www.sportsidioten.no/resultater/kvinner-elite-holmenkollstafetten-2026/
2026,kvinner elite,2,,IK Tjalve (),0:56:26,3386.0,https://www.sportsidioten.no/resultater/kvinner-elite-holmenkollstafetten-2026/
2026,kvinner elite,3,,Hälle IF (),0:59:02,3542.0,https://www.sportsidioten.no/resultater/kvinner-elite-holmenkollstafetten-2026/
2026,kvinner elite,4,,Idrottslaget Gular 2 (),0:59:45,3585.0,https://www.sportsidioten.no/resultater/kvinner-elite-holmenkollstafetten-2026/
2026,kvinner elite,5,,Varegg Fleridrett 2 (),1:00:03,3603.0,https://www.sportsidioten.no/resultater/kvinner-elite-holmenkollstafetten-2026/
2026,kvinner elite,6,,Bratsberg IL 3 (),1:00:31,3631.0,https://www.sportsidioten.no/resultater/kvinner-elite-holmenkollstafetten-2026/
2026,kvinner elite,7,,Mölndals AIK (),1:00:56,3656.0,https://www.sportsidioten.no/resultater/kvinner-elite-holmenkollstafetten-2026/
2026,kvinner elite,8,,SK Vidar K Elite 2 (),1:00:59,3659.0,https://www.sportsidioten.no/resultater/kvinner-elite-holmenkollstafetten-2026/
2026,kvinner elite,9,,Ullensaker/Kisa IL Friidrett 7 (),1:01:16,3676.0,https://www.sportsidioten.no/resultater/kvinner-elite-holmenkollstafetten-2026/
2026,kvinner elite,10,,Raumnes & Årnes IL (),1:02:10,3730.0,https://www.sportsidioten.no/resultater/kvinner-elite-holmenkollstafetten-2026/
2026,kvinner elite,11,,Strindheim IL 2 (),1:02:53,3773.0,https://www.sportsidioten.no/resultater/kvinner-elite-holmenkollstafetten-2026/
2026,kvinner elite,12,,Sandefjord TIF (),1:03:03,3783.0,https://www.sportsidioten.no/resultater/kvinner-elite-holmenkollstafetten-2026/
2026,kvinner elite,13,,Spirit friidrett 7 (),1:03:13,3793.0,https://www.sportsidioten.no/resultater/kvinner-elite-holmenkollstafetten-2026/
2026,kvinner elite,14,,SK Vidar K Elite 3 (),1:03:29,3809.0,https://www.sportsidioten.no/resultater/kvinner-elite-holmenkollstafetten-2026/
2026,kvinner elite,15,,Kjelsås Langrenn (),1:04:04,3844.0,https://www.sportsidioten.no/resultater/kvinner-elite-holmenkollstafetten-2026/
